Cover Image,Phase,PSNR,SSIM,MSE,Entropy Diff,Blue_Cover,Blue_Stego,Blue_Detect,Green_Cover,Green_Stego,Green_Detect,Red_Cover,Red_Stego,Red_Detect
img_25.jpg,phase2,84.1121,1.0,0.0003,-0.0,2758.664168303614,2761.448506482735,more detectable by 2.784338179120823,2758.664168303614,2761.3890479650154,more detectable by 2.7248796614012463,2758.664168303614,2761.411044387287,more detectable by 2.7468760836727597
img_25.jpg,phase3,93.2633,1.0,0.0,-0.0,2758.664168303614,2759.888126102169,more detectable by 1.223957798554693,2758.664168303614,2758.067972608991,less detectable by 0.5961956946230202,2758.664168303614,2760.778628530419,more detectable by 2.114460226805022
img_25.jpg,phase4_1,92.9345,1.0,0.0,0.0,2758.664168303614,2759.5795978996366,more detectable by 0.9154295960224772,2758.664168303614,2758.49724140957,less detectable by 0.16692689404408156,2758.664168303614,2757.9212333171963,less detectable by 0.7429349864178221
img_25.jpg,phase4_2,90.5041,1.0,0.0001,-0.0,2758.664168303614,2758.9540000800916,more detectable by 0.2898317764775129,2758.664168303614,2759.1181640411405,more detectable by 0.4539957375263839,2758.664168303614,2759.732942764297,more detectable by 1.0687744606830165
img_25.jpg,phase4_3,90.5041,1.0,0.0001,-0.0,2758.664168303614,2758.8961525362656,more detectable by 0.2319842326514845,2758.664168303614,2759.5682653613894,more detectable by 0.9040970577752887,2758.664168303614,2758.664168303614,equal
img_25.jpg,phase4_4,89.9242,1.0,0.0001,-0.0,2758.664168303614,2759.7249502871628,more detectable by 1.0607819835486225,2758.664168303614,2758.3815556568334,less detectable by 0.2826126467807626,2758.664168303614,2760.2626170612084,more detectable by 1.5984487575942694
img_26.jpg,phase1,103.3405,1.0,0.0,-0.0,775796.7535527974,775797.018593124,more detectable by 0.26504032663069665,742970.2349099881,742970.3591031408,more detectable by 0.12419315264560282,722528.9178846233,722529.1855118907,more detectable by 0.2676272673998028
img_26.jpg,phase2,94.6755,1.0,0.0,-0.0,775796.7535527974,775799.6354538476,more detectable by 2.8819010502193123,742970.2349099881,742971.4220608842,more detectable by 1.1871508960612118,722528.9178846233,722529.6608190493,more detectable by 0.7429344260599464
img_26.jpg,phase3,103.7544,1.0,0.0,0.0,775796.7535527974,775794.0308314726,less detectable by 2.7227213247679174,742970.2349099881,742962.3155727587,less detectable by 7.919337229453959,722528.9178846233,722522.5685328308,less detectable by 6.349351792479865
img_26.jpg,phase4_1,103.3405,1.0,0.0,0.0,775796.7535527974,775793.9774094528,less detectable by 2.7761433445848525,742970.2349099881,742966.0071668329,less detectable by 4.227743155206554,722528.9178846233,722528.2335039588,less detectable by 0.6843806644901633
img_26.jpg,phase4_2,100.4638,1.0,0.0,-0.0,775796.7535527974,775797.6432657231,more detectable by 0.889712925767526,742970.2349099881,742970.2773041344,more detectable by 0.04239414632320404,722528.9178846233,722528.8659009322,less detectable by 0.05198369105346501
img_26.jpg,phase4_3,100.8913,1.0,0.0,-0.0,775796.7535527974,775797.3491849884,more detectable by 0.5956321910489351,742970.2349099881,742970.2996115807,more detectable by 0.06470159254968166,722528.9178846233,722528.9178846233,equal
img_26.jpg,phase4_4,100.2865,1.0,0.0,0.0,775796.7535527974,775787.8708254825,less detectable by 8.882727314834483,742970.2349099881,742976.6399977356,more detectable by 6.40508774749469,722528.9178846233,722528.9446210751,more detectable by 0.026736451778560877
img_27.jpg,phase1,90.5236,1.0,0.0001,0.0,897.3481221942359,897.3133821768042,less detectable by 0.034740017431659,4498.258260299786,4497.062040941514,less detectable by 1.1962193582721738,2181.328187573735,2181.5557202001664,more detectable by 0.22753262643163907
